Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column,States,Counties
CENTRAL OHIO PRIMARY C,OH,CANAL WINCHESTER,249,73,0,POINT (-82.807777 39.843776),38,2520
BAXTER REGIONAL MEDICA,AR,MOUNTAIN HOME,650,11887,3808,POINT (-92.387497 36.335882),15,10
ST LUKES PHYSICIAN GRO,PA,BATH,0,412,0,POINT (-75.393491 40.726519),48,2599
PRIMARY CARE GROUP,TN,MEMPHIS,200,0,0,POINT (-90.052136 35.143378),39,2111
VIRTUAL RADIOLOGIC PRO,MO,WEST PLAINS,36,377,0,POINT (-91.852504 36.731121),18,1965
PINNACLE HEALTH CARDIO,PA,WORMLEYSBURG,680,4052,0,POINT (-76.901708 40.255923),48,2501
EL RIO COMMUNITY HEALT,AZ,TUCSON,4665,87051,38205,POINT (-110.971225 32.221878),7,942
L I VASCULAR AND SURGI,NY,GARDEN CITY,0,164,0,POINT (-73.63508 40.728121),47,2094
NEOSHO MEMORIAL REGION,KS,CHANUTE,108473,48223,0,POINT (-95.452537 37.681787),17,1250
FIVE STAR PHARMACY,MS,SENATOBIA,40,0,32266,POINT (-89.964548 34.618684),32,2595
HARVARD STREET NEIGHBO,MA,DORCHESTER,0,56,0,POINT (-71.074997 42.297199),25,1918
UNIVERSITY PHYSICIANS,AZ,GREEN VALLEY,834,2820,493127,POINT (-110.999924 31.856237),7,942
MARTIN SURGICAL ASSOCI,FL,TAMARAC,0,8290,0,POINT (-80.270892 26.213242),30,1054
COUNTY OF RINNGOLD,IA,MOUNT AYR,0,0,902,POINT (-94.233197 40.711076),16,297
MEDICAL ASSOCIATES OF,MS,VICKSBURG,69982,110964,13495,POINT (-90.882456 32.348144),32,3157
MOTHER LODE DIAGNOSTIC,CA,JACKSON,231,0,0,POINT (-120.774102 38.348802),8,1182
SAMARITAN PACIFIC COMM,OR,NEWPORT,1257123,463657,2238,POINT (-124.05309 44.636569),,2372
ASHLAND PHARMACY INC,NE,ASHLAND,0,0,5493,POINT (-96.36094 41.036136),19,2348
ACADIANA RADIOLOGY GRO,LA,LAFAYETTE,708,8783,0,POINT (-92.018773 30.22126),22,1629
CLINICA DE SALUD DEL V,CA,SOLEDAD,0,301,7254,POINT (-121.328212 36.427951),8,1171
SAKRX LLC,NE,OMAHA,137629,6072,90832,POINT (-95.937195 41.258652),19,2249
FUSION DIAGNOSTICS LAB,NJ,CEDAR KNOLLS,9855240,113808,0,POINT (-74.449203 40.821899),46,2492
MIHAELA IONESCU MD PA,FL,ORANGE PARK,0,29517,0,POINT (-81.706698 30.169231),30,42
SANFORD HEALTH NETWORK,MN,TRACY,9649,2294,12042,POINT (-95.616824 44.23888),1,381
MOBILE CARDIAC IMAGING,OK,TULSA,2474879,347,18603,POINT (-95.992083 36.155327),20,2273
PERSPECTIVE BEHAVIORAL,IL,DES PLAINES,449234,0,0,POINT (-87.889318 42.042289),34,1863
ANNE ARUNDEL PHYSICIAN,MD,LAUREL,0,256,0,POINT (-76.848374 39.099535),45,1815
SUTTER MEDICAL FOUNDAT,CA,ROSEVILLE,1063,8605,0,POINT (-121.285202 38.74806),8,1175
ATLANTICARE PHYSICIAN,NJ,HAMMONTON,186,0,0,POINT (-74.802744 39.636636),46,2446
BRONSON METHODIST HOSP,MI,BATTLE CREEK,0,1444,0,POINT (-85.182454 42.31918),50,433
MCLAREN OAKLAND,MI,PONTIAC,54990,244014,0,POINT (-83.292696 42.638782),50,1307
PRATT PEDIATRIC ASSOCI,MA,BOSTON,0,1033,0,POINT (-71.056742 42.358894),25,1918
NORTH BROWARD HOSPITAL,FL,FORT LAUDERDALE,509341,3026511,0,POINT (-80.143586 26.124163),30,1054
FLOWOOD RIVER OAKS HMA,MS,RICHLAND,1655,1440,0,POINT (-90.162806 32.231985),32,2589
FAMILY PRACTICE CENTER,PA,ELIZABETHTOWN,0,0,98,POINT (-76.605969 40.15153),48,2553
BRUNDAGES WAYMART PHAR,PA,WAYMART,0,0,7960,POINT (-75.408311 41.588427),48,2654
ESCO DRUG CO INC,NY,NEW YORK,6752,290,196750,POINT (-74.007228 40.713054),46,2095
UNIVERSITY HEALTHCARE,CA,PINOLE,446,0,0,POINT (-122.285192 37.990804),8,1185
HCAHEALTHONE LLC,CO,AURORA,0,14112,0,POINT (-104.819356 39.711213),9,1395
LADD MEMORIAL HOSPITAL,MN,SCANDIA,5749,982,0,POINT (-92.80435 45.255854),1,1558
TULIKA NARAIN,NY,MONROE,160,0,0,POINT (-74.177985 41.319875),47,2134
RADIOLOGY MUSKEGON PC,MI,NORTON SHORES,9,704,0,POINT (-86.263541 43.184584),50,1306
GUTTENBERG MUNICIPAL H,IA,EDGEWOOD,341,125,0,POINT (-91.398755 42.643573),16,276
PHARMEX INC,NM,FARMINGTON,840,0,26858,POINT (-108.173377 36.748146),11,1989
AMBER ENTERPRISES INC,NE,OMAHA,0,15599,0,POINT (-95.937195 41.258652),19,2249
SANDPOINT DRUG INC,ID,SANDPOINT,0,0,4365,POINT (-116.553386 48.276098),5,1689
THE ERX GROUP LLC,GA,SWAINSBORO,49927,16657,0,POINT (-82.333911 32.596933),31,1132
LECONTE RADIOLOGY,TN,MARYVILLE,1298,13343,0,POINT (-83.973082 35.750607),39,2740
HEALTHFLEET AMBULANCE,PA,PHILADELPHIA,0,9631,0,POINT (-75.16562 39.951061),48,2602
CORNELL SCOTT HILL HEA,CT,WEST HAVEN,0,47,0,POINT (-72.949817 41.272336),24,1044
ASCENSION MEDICAL GROU,KS,WICHITA,196,225,0,POINT (-97.335571 37.686024),17,1291
MULTI CULTURAL HEALTH,PA,ERIE,0,51,4288,POINT (-80.08258 42.127951),48,2504
CENTRAL MAINE CLINICAL,ME,OAKLAND,0,148,0,POINT (-69.723538 44.540926),49,1681
THUNDERMIST HEALTH CEN,RI,WAKEFIELD,25148,886,1037,POINT (-71.502292 41.44097),27,2703
SALUD FAMILY HEALTH CE,CO,LONGMONT,47373,2886,71685,POINT (-105.101194 40.165729),9,85
MEDICAL CLINIC PHARMAC,ID,CALDWELL,40,0,15858,POINT (-116.687705 43.662853),5,1692
APP OF NEVADA ED PLLC,TN,BRENTWOOD,6504,2410,0,POINT (-86.778892 35.995514),39,3018
AIKEN REGIONAL MEDICAL,GA,ATLANTA,5083,412099,0,POINT (-84.391502 33.748547),31,1137
ALASKA HOSPITALIST GRO,AK,ANCHORAGE,0,95434,0,POINT (-149.899597 61.216583),51,1669
UNC PHYSICIANS NETWORK,NC,EDEN,334,463,34,POINT (-79.767111 36.495888),37,2475
CINCINNATI OBSERVATION,OH,MONTGOMERY,671,0,0,POINT (-84.350906 39.248676),38,2562
BAPTIST HEALTH STUTTGA,AR,STUTTGART,52001,66850,0,POINT (-91.552576 34.500219),15,946
PARAGON CONTRACTING SE,FL,MIAMI,20450,9066,0,POINT (-80.194702 25.775084),30,1074
ST DOMINIC MEDICAL ASS,MS,PELAHATCHIE,0,0,400,POINT (-89.798966 32.313156),32,2589
OTTOMEYER CLINICS LLC,MN,SAINT PAUL,310,0,0,POINT (-93.094281 44.943719),1,1506
MIDWEST CITY HMA PHYSI,OK,MIDWEST CITY,0,88,0,POINT (-97.388554 35.463984),20,712
HARTFORD HEALTHCARE ME,CT,SHELTON,109,0,0,POINT (-73.092968 41.316843),24,1040
BELLEVUE HOSPITAL CENT,NJ,LONG BRANCH,0,329,0,POINT (-73.992759 40.304025),,2491
WEST BOYNTON URGENT CA,FL,WELLINGTON,1994,0,0,POINT (-80.253838 26.661062),30,52
CAYUGA MEDICAL ASSOCIA,NY,ITHACA,0,55,0,POINT (-76.461572 42.422372),47,2181
MEDSTAR GOOD SAMARITAN,MD,MITCHELLVILLE,0,259,0,POINT (-76.815277 38.919787),45,1815
MURFREESBORO MEDICAL C,TN,MURFREESBORO,970,0,0,POINT (-86.391449 35.845963),39,2108
MURDOCK HEALTH AND WEL,KS,DE SOTO,80,0,4899,POINT (-94.959795 38.978012),17,1237
SCENIC DRIVE INPATIENT,NM,ALAMOGORDO,0,3647,0,POINT (-105.961256 32.890216),11,614
DUKE CITY URGENT CARE,NM,LOS LUNAS,145456,953,0,POINT (-106.733473 34.80661),11,617
RIVERSIDE PEDIATRIC GR,NJ,JERSEY CITY,139,0,3794,POINT (-74.044111 40.717495),46,488
SUNSHINE DIAGNOSTICS L,FL,RIVIERA BEACH,7064,972,0,POINT (-80.054831 26.783424),,52
MEDTRANS CORPORATION,IA,MASON CITY,0,18263,0,POINT (-93.201042 43.153621),16,1373
WISES DRUG STORE INC,FL,GAINESVILLE,960,0,8569,POINT (-82.325024 29.651958),30,1050
ST JOHN PEDIATRICS ASS,MI,MADISON HEIGHTS,0,47,0,POINT (-83.105747 42.504736),50,1307
SUTTER BAY MEDICAL FOU,CA,BURLINGAME,653,229,0,POINT (-122.366265 37.584195),8,1333
GREENBELT CONSUMERS CO,MD,GREENBELT,0,0,2212,POINT (-76.875671 39.004612),45,1815
SADDLE ROCK PHARMACY,CO,AURORA,0,0,2265,POINT (-104.819356 39.711213),9,1395
BAYSIDE EMERGENCY PHYS,FL,SAINT PETERSBURG,907169,152514,0,POINT (-82.638488 27.772069),30,1081
WAKE FOREST UNIVERSITY,NC,HICKORY,293,654,0,POINT (-81.333464 35.72964),37,2286
HARTFORD HEALTHCARE ME,CT,NORWALK,0,2203,0,POINT (-73.412906 41.11805),24,1040
ANDERSON ROGERS PHARMA,KS,LAWRENCE,80,0,8257,POINT (-95.235957 38.973037),17,1943
SETON MEDICAL GROUP IN,MD,BALTIMORE,82,85,37,POINT (-76.612333 39.290443),45,1857
STARR REGIONAL HEALTH,TN,ETOWAH,182377,478399,444,POINT (-84.532249 35.325989),39,695
BAYSTATE HEALTH URGENT,MA,LONGMEADOW,0,0,556,POINT (-72.5829 42.050501),25,1913
MPV NEW JERSEY MD SERV,NJ,SADDLE RIVER,0,685,0,POINT (-74.095105 41.030913),46,487
INTEGRATED EMERGENCY M,FL,ESTERO,1254,0,0,POINT (-81.804994 26.43765),30,1113
KROGER LIMITED PARTNER,IN,WARSAW,0,0,14317,POINT (-85.856639 41.235151),35,157
SUSQUEHANNA COMMUNITY,PA,WILLIAMSPORT,41205,1530,17506,POINT (-77.04192 41.241489),48,2557
DX MSO LLC,TN,KNOXVILLE,11190,4292,0,POINT (-83.916677 35.962631),39,2013
PLENTYWOOD DRUG INC,MT,PLENTYWOOD,0,0,3377,POINT (-104.55908 48.774396),2,443
PHARMACY EXPRESS INC,NJ,PATERSON,0,0,26746,POINT (-74.172191 40.916612),46,2493
FACEY MEDICAL FOUNDATI,CA,NORTHRIDGE,247,0,0,POINT (-118.535797 34.228298),8,1195
CAPE FEAR VALLEY HOKE,NC,RAEFORD,5253,610070,7108,POINT (-79.224111 34.978744),37,2385
INDEPENDENT EMERGENCY,MI,NOVI,2244,434,0,POINT (-83.475491 42.48059),50,1307
NOVANT MEDICAL GROUP,NC,HARRISBURG,1647,354,0,POINT (-80.661737 35.323609),37,636
EMERGENCY ASSOCIATES O,NJ,TINTON FALLS,7558,2490,0,POINT (-74.098195 40.302745),46,2491
UNIVERSITY PHYSICIANS,CO,PARKER,66,0,0,POINT (-104.762773 39.518515),9,3133
OPTIMUM LAB SERVICES L,OK,TULSA,331020,761,0,POINT (-95.992083 36.155327),20,2273
SANFORD HEALTH,MN,ALEXANDRIA,1540,74,121560,POINT (-95.377529 45.889471),1,373
DESTIN REGIONAL IMAGIN,FL,MIRAMAR BEACH,2499,3444,0,POINT (-86.363493 30.375132),,1093
TRI CITIES REGIONAL EM,TN,MORRISTOWN,12829,5086,0,POINT (-83.295107 36.214459),39,2048
RIVERS EDGE HOSPITAL A,MN,SAINT PETER,80712,57081,0,POINT (-93.959297 44.323871),1,1500
GIRIRAJ CORPORATION,CA,MORENO VALLEY,0,0,3816,POINT (-117.261144 33.917114),8,1177
FIRST CHOICE PHYSICIAN,CA,TURLOCK,0,1490,0,POINT (-120.848984 37.492749),8,1340
SUPER BEE DISCOUNT PHA,AL,RAINBOW CITY,0,0,24351,POINT (-86.139964 33.928922),29,98
RAPID URGENT CARE INC,LA,MANDEVILLE,9334,3124,6981,POINT (-90.062471 30.362171),22,1740
BAPTIST HEALTH STUTTGA,AR,DE WITT,537,434,0,POINT (-91.337647 34.288048),15,946
WELLMAX HEALTH MEDICAL,FL,PEMBROKE PINES,0,0,3043,POINT (-80.279747 26.006156),30,1054
ALABAMA PROVIDENCE HEA,AL,FOLEY,0,69,0,POINT (-87.682076 30.40638),29,91
EMERGENCY AND ACUTE CA,FL,LONGWOOD,0,155951,0,POINT (-81.352659 28.704558),30,1087
ADAIR COUNTY AMBULANCE,KY,ADAIR,0,2334,0,,,
THE GREATER HUDSON VAL,NY,BINGHAMTON,3203,838,0,POINT (-75.912543 42.098702),47,2033
NYPMG QUEENS,NY,NEW YORK,158,24041,0,POINT (-74.007228 40.713054),46,2095
COMMUNITY HOSPITAL OF,AL,ANDALUSIA,29086,296966,1152,POINT (-86.482735 31.308061),29,1539
PHOENIX CHILDRENS MEDI,AZ,MESA,0,63,0,POINT (-111.831498 33.41514),7,989
NORTH BROWARD HOSPITAL,FL,DEERFIELD BEACH,0,1945,0,POINT (-80.099781 26.320584),30,1054
HOUCHENS EXPRESS PHARM,IN,ROCKPORT,0,0,1637,POINT (-87.055093 37.883194),35,1204
SAINT THOMAS MEDICAL P,TN,NASHVILLE,139,182,1560,POINT (-86.779932 36.166687),39,2005
BELLEVUE HOSPITAL CENT,NY,SPRINGFIELD GARDENS,1635,0,0,POINT (-73.746902 40.678101),47,2137
SUTTER VALLEY MEDICAL,CA,SACRAMENTO,1426,3181,120,POINT (-121.50012 38.582087),8,77
NORTH JERSEY PRIMARY C,NJ,WEST NEW YORK,0,13986,0,POINT (-74.009287 40.785538),46,488
ALLINA HEALTH SYSTEM,MN,STILLWATER,0,1296,0,POINT (-92.810143 45.055745),1,1558
PROMEDICA NORTHWEST OH,OH,LIMA,0,88,0,POINT (-84.104987 40.742696),38,573
HONORHEALTH,AZ,PHOENIX,108647,1264407,160,POINT (-112.072585 33.448204),7,989
NORTHWEST LOUISIANA NE,LA,SHREVEPORT,0,16269,0,POINT (-93.747757 32.51424),22,1575
AMERICAN GENE TECHNOLO,MD,ROCKVILLE,189600,0,0,POINT (-77.152896 39.08419),45,1814
RADIOLOGY ASSOCIATES P,AL,BIRMINGHAM,114,18,0,POINT (-86.807705 33.522859),29,1583
KHODIYAR HEALTH LLC,TN,CHATTANOOGA,560,0,24439,POINT (-85.308287 35.045756),39,2049
HOMETOWN PHARMACY INC,MI,CHELSEA,1440,0,4440,POINT (-84.020373 42.314319),50,366
1ST  CHOICE HEALTHCARE,AR,PARAGOULD,186,0,0,POINT (-90.505164 36.052644),15,1023
LONG ISLAND KIDNEY PHY,NY,HUNTINGTON STATION,0,8930,0,POINT (-73.411525 40.848403),47,2179
SUTTER BAY MEDICAL FOU,CA,SANTA CRUZ,545,376,0,POINT (-122.028795 36.97414),8,1335
CHILD AND ADOLESCENT H,CT,WATERBURY,216,0,0,POINT (-73.043069 41.554261),24,1044
MIDWEST POST ACUTE CAR,IL,PALOS HILLS,0,365,0,POINT (-87.831846 41.703762),34,1863
ST ELIZABETH MEDICAL C,KY,LAKESIDE PARK,0,147,0,POINT (-84.567689 39.032966),36,1329
MOUNT CARMEL HEALTH PR,OH,GRANVILLE,0,2053,0,POINT (-82.520263 40.066734),38,587
JFK MEDICAL GROUP PC,NJ,KENDALL PARK,0,78,0,POINT (-74.570436 40.421348),46,2490
NOVANT MEDICAL GROUP,NC,CHARLOTTE,15856,3044,0,POINT (-80.840161 35.222936),37,2429
FARMACIA SAGRADO INC,PR,SABANA GRANDE,0,0,39993,POINT (-66.96229 18.07818),,978
HEALTH DEPT OF NORTHWE,MI,CHARLEVOIX,22700,0,1025,POINT (-85.258348 45.317649),50,1219
EMERGENCY MEDICINE PHY,OH,LANCASTER,74598,19463,0,POINT (-82.599281 39.713651),38,2519
HOUSTON MEDICAL CENTER,GA,WARNER ROBINS,407,4717930,0,POINT (-83.612988 32.629183),31,1416
STEWARD MEDICAL GROUP,FL,MERRITT ISLAND,0,7401,0,POINT (-80.700167 28.354259),30,1053
HARESH SAWLANI MD,IL,CHICAGO,556,5877,53345,POINT (-87.632398 41.883229),34,1863
MINUTECLINIC DIAGNOSTI,GA,LITHONIA,24114997,1350949,54200,POINT (-84.105776 33.712085),31,1125
ST LUKES MCCALL LTD,ID,MCCALL,154984,52227,0,POINT (-116.097692 44.909421),5,1776
THE MEDICAL CENTER AT,KY,MUNFORDVILLE,510,0,0,POINT (-85.891082 37.272275),36,1322
SPEARE MEMORIAL HOSPIT,NH,PLYMOUTH,5988,14574,0,POINT (-71.687818 43.757025),26,485
RUSH UNIVERSITY MEDICA,IL,CHICAGO,0,948,0,POINT (-87.632398 41.883229),34,1863
CHILDRENS COMMUNITY PE,PA,PITTSBURGH,2106,0,0,POINT (-79.994945 40.442169),48,2455
CATHOLIC HEALTH,CO,COLORADO SPRINGS,41240,282681,0,POINT (-104.819798 38.835224),9,1447
SMITHS FOOD AND DRUG C,AZ,MESA,0,0,27040,POINT (-111.831498 33.41514),7,989
ROBERT WOOD JOHNSON ME,NJ,NEW BRUNSWICK,123,61162,0,POINT (-74.444139 40.495921),46,2490
CHARLESTON RADIOLOGIST,SC,SUMMERVILLE,4408,13058,0,POINT (-80.177584 33.019791),33,1974
EMERGENCY MEDICINE ASS,MD,PRINCE FREDERICK,26105,64293,0,POINT (-76.584661 38.546481),45,1764
UNIVERSITY PHYSICIANS,NY,BROOKLYN,0,2434,0,POINT (-73.990996 40.692529),,2090
MAYFAIR OPERATOR LLC,PA,PHILADELPHIA,0,14649,0,POINT (-75.16562 39.951061),48,2602
FELKER PHARMACY INC,IL,WINNEBAGO,0,0,1160,POINT (-89.241424 42.267331),34,1810
GEORGIA HEART PHYSICIA,GA,MACON,0,118,0,POINT (-83.631709 32.836038),31,1149
CARBON HEALTH MEDICAL,CA,SAN FRANCISCO,12576,1785,0,POINT (-122.420168 37.78008),8,1180
PLANNED PARENTHOOD ORA,CA,ANAHEIM,0,0,32400,POINT (-117.915638 33.834492),8,1174
ABBOTT NORTHWESTERN HO,MN,MINNEAPOLIS,209,0,0,POINT (-93.264346 44.977479),1,1406
PLATTE COMMUNITY MEMOR,SD,PLATTE,16824,16035,2715,POINT (-98.844782 43.387197),21,2633
PRIVATE DIAGNOSTIC CLI,NC,DURHAM,379,399,0,POINT (-78.899023 35.996948),37,641
NEA BAPTIST CLINIC,AR,CHEROKEE VILLAGE,1616,1327,200,POINT (-91.528278 36.307744),15,26
ST JOHN BROKEN ARROW,OK,BROKEN ARROW,125097,152817,0,POINT (-95.790808 36.052449),20,2273
SANTIAGO MEDICAL GROUP,RI,PAWTUCKET,360,0,31509,POINT (-71.382408 41.8799),27,2660
LINCARE BILLING DEPT,OH,STEUBENVILLE,0,46834,0,POINT (-80.632082 40.369896),42,2569
APP OF ALABAMA ED PLLC,AL,DOTHAN,147654,31371,0,POINT (-85.391121 31.224297),29,1551
FLH MEDICAL PC,NY,WATERLOO,151,0,0,POINT (-76.862848 42.904651),47,2144
ALL FAMILY PHARMACY IN,NY,BROOKLYN,760,0,960,POINT (-73.990996 40.692529),,2090
ST LUKES HOSPITAL AND,MN,DULUTH,4322,100,0,POINT (-92.105457 46.782882),1,389
MEDWIN LABS INC,IL,CHICAGO,547755,0,0,POINT (-87.632398 41.883229),34,1863
INTEGRIS CARDIOVASCULA,OK,OKLAHOMA CITY,192,8649,0,POINT (-97.521264 35.468494),20,712
ANA GAVRILOVICI MD,IL,LINCOLNWOOD,210335,82642,0,POINT (-87.733561 42.006283),34,1863
OCHSNER MEDICAL CENTER,LA,KENNER,388453,1268743,280,POINT (-90.24298 29.990794),22,1627
PENSACOLA EMERGENCY PH,GA,ATLANTA,10118,4101,0,POINT (-84.391502 33.748547),31,1137
SAINT ELIZABETH REGION,NE,LINCOLN,230993,664406,0,POINT (-96.70261 40.813599),19,462
PRIMARY CARE PARTNERS,NJ,BLOOMFIELD,80,0,0,POINT (-74.194954 40.792112),46,2486
MEDICAP PHARMACY,IA,URBANDALE,800,0,31441,POINT (-93.736522 41.630343),16,1878
DET MEDICAL PC,NY,JAMAICA,320167,0,8124,POINT (-73.806099 40.691399),47,2137
COMMUNITY HEALTHCARE S,KS,HOLTON,4158,1184,492,POINT (-95.737666 39.466264),17,1234
CISTERNA EMERGENCY PHY,AR,FORT SMITH,87156,16726,0,POINT (-94.424357 35.386636),15,1002
ALEGRIA OPERATING LLC,NY,BRONX,0,0,3840,POINT (-73.920265 40.826153),47,2032
MK STORES INC,MI,NEGAUNEE,360,0,4733,POINT (-87.608359 46.500882),50,353
CH CONSULTING LLC,TN,BRENTWOOD,849418,0,0,POINT (-86.778892 35.995514),39,3018
FHPG LLC,NC,BISCOE,330,0,0,POINT (-79.779835 35.35979),37,647
MANATEE MEMORIAL HOSPI,FL,BRADENTON,0,508,0,POINT (-82.562798 27.488962),30,49
ALTEON HEALTH ILLINOIS,IL,CHICAGO,0,146,0,POINT (-87.632398 41.883229),34,1863
CROSSGATES RIVER OAKS,MS,BRANDON,242116,700623,0,POINT (-89.97095 32.272828),32,2589
PINE RIDGE HEALTH INVE,SC,WEST COLUMBIA,40,0,987,POINT (-81.072884 33.987965),33,2528
BMA BURLINGTON,NC,RALEIGH,0,0,847,POINT (-78.64167 35.781295),37,3158
PIGGLY WIGGLY OF MANNI,SC,MANNING,160,0,760,POINT (-80.211919 33.693465),33,1971
PALMETTO HEALTH COUNCI,GA,WARM SPRINGS,2817,218,0,POINT (-84.679445 32.890675),31,193
FOLEY CLINIC CORP,AL,ROBERTSDALE,207,724,0,POINT (-87.711546 30.55612),29,91
TOWANDA CREEK EMERGENC,PA,TOWANDA,5944,1724,0,POINT (-76.443168 41.770674),48,728
SINAI MEDICAL LABORATO,CA,LOS ANGELES,9612119,86495,0,POINT (-118.243344 34.052238),8,1195
HOMETOWN PHARMACY CARR,MO,CARROLLTON,0,0,1000,POINT (-93.496037 39.358529),18,2696
SANTA LUCIA MEDICAL GR,CA,SALINAS,1531,0,1680,POINT (-121.656421 36.676795),8,1171
HEART AND VASCULAR ASS,NJ,PATERSON,0,1797,0,POINT (-74.172191 40.916612),46,2493
WHETSTONE MEDICAL CLIN,OH,MILLERSPORT,320,0,1522,POINT (-82.534969 39.897777),38,2519
OLAOLU INCORPORATION,NV,HENDERSON,0,2338,0,POINT (-114.984455 36.034095),10,480
VALLEY MEDICAL ASSOCIA,NC,FAYETTEVILLE,0,13499,0,POINT (-78.883659 35.054417),37,2293
SHERWOODS DRUG SHOP IN,GA,BUFORD,440,0,2360,POINT (-84.005394 34.119279),31,1377
SOUTHLAKE CENTER FOR M,IN,HAMMOND,120,0,480,POINT (-87.508921 41.604595),35,1902
MEDICAL CENTER PHARMAC,AL,FLORENCE,0,0,14486,POINT (-87.673264 34.801317),29,1584
DONLON DRUG INCORPORAT,IA,DECORAH,0,0,6513,POINT (-91.788341 43.303293),16,1890
AMERICAN FAMILY CARE,AL,MADISON,0,0,160,POINT (-86.750908 34.706763),29,1588
RESPIRATORY CONSULTANT,MN,MINNEAPOLIS,163,4245,0,POINT (-93.264346 44.977479),1,1406
ACS PRIMARY CARE PHYSI,GA,THOMASTON,11277,6495,0,POINT (-84.32623 32.887181),31,1613
AVERA QUEEN OF PEACE,SD,WESSINGTON SPRINGS,808,0,200,POINT (-98.570846 44.073229),21,671
COMMUNITY MEDICAL CLIN,KY,HOPKINSVILLE,7197,157,0,POINT (-87.488906 36.865586),36,1222
JACKSON COUNTY AMBULAN,TN,GAINESBORO,0,536,0,POINT (-85.655237 36.356006),39,2010
SHARAD V GUNDA,LA,FRANKLIN,156,0,0,POINT (-91.502606 29.796013),22,1706
BORREGO COMMUNITY HEAL,CA,ESCONDIDO,0,0,11759,POINT (-117.085357 33.130363),8,1179
JP AND F INC,NC,CHINA GROVE,520,0,9520,POINT (-80.581589 35.569187),37,2476
JOHN F SIMMONS MD,AL,GENEVA,0,339,0,POINT (-85.868768 31.032867),29,1547
GEOFFREY TRENKE D O A,CA,LOS ANGELES,96,0,0,POINT (-118.243344 34.052238),8,1195
NOCKLEY FAMILY PHARMAC,PA,HANOVER TOWNSHIP,40,0,3960,POINT (-75.923103 41.213699),48,2556
SCOTTSDALE HEALTHCARE,AZ,PHOENIX,0,3098,0,POINT (-112.072585 33.448204),7,989
SAINT JAMES HEALTH INC,NJ,NEWARK,464673,123662,308,POINT (-74.174388 40.731507),46,2486
UNIVERSITY PROFESSIONA,OR,PORTLAND,9182,93463,480,POINT (-122.681425 45.516018),12,2410
STARLING PHYSICINAS PC,CT,NEWINGTON,143,0,0,POINT (-72.723843 41.698002),24,1041
APPLEDORE MEDICAL GROU,NH,SANBORNVILLE,11536,213,0,POINT (-71.026342 43.553838),26,2406
WEST END RX CORPORATIO,GA,CARTERSVILLE,2920,0,88846,POINT (-84.800036 34.163937),31,1147
HATTIESBURG CLINIC,MS,COLLINS,701,123,480,POINT (-89.556735 31.644307),32,400
SHELL KNOB PHARMACY,MO,SHELL KNOB,0,0,11682,POINT (-93.633931 36.634234),18,2649
DUBOIS REGIONAL MEDICA,PA,SAINT MARYS,536,0,0,POINT (-78.561541 41.4286),48,730
CLAY COUNTY AMBULANCE,KY,MANCHESTER,0,3157,0,POINT (-83.762624 37.154459),36,1224
PALM BEACH ATLANTIC UN,FL,WEST PALM BEACH,17805,0,0,POINT (-80.054947 26.714439),,52
MONTGOMERY AND COUNTRY,IL,MONTGOMERY,0,1242,0,POINT (-84.353966 39.228243),38,2562
WASHINGTON UNIV SCHOOL,MO,SAINT LOUIS,0,2375,0,POINT (-90.200309 38.630276),18,2223
KENNEDY UNIVERSITY HOS,NJ,CHERRY HILL,357677,1008177,9199,POINT (-75.030928 39.925801),46,2448
REHABILITATION MED CLI,IL,OAKBROOK TERRACE,0,2613,0,POINT (-87.965379 41.854165),34,1866
SMZ SPECIALISTS  PC,TN,ATOKA,0,115450,0,POINT (-89.788485 35.444398),39,2156
MARICOPA INTEGRATED HE,AZ,GLENDALE,0,561,0,POINT (-112.186106 33.539812),7,989
LAKELAND PHYSICIANS GR,FL,LAKELAND,280118,0,661,POINT (-81.954113 28.040507),30,1082
BROCK MEDICAL LLC,KY,BARDSTOWN,555709,103111,1583,POINT (-85.466363 37.810528),36,254
NATIONWIDE LABORATORY,FL,BOCA RATON,53522,1050,0,POINT (-80.089831 26.35052),30,52
LAKE CLARKE SHORES DIA,FL,WEST PALM BEACH,0,0,40,POINT (-80.054947 26.714439),,52
PRESCRIPTION PLACE OF,FL,NICEVILLE,0,0,7648,POINT (-86.478152 30.518721),30,1076
MEAD AVENUE FAMILY PRA,PA,CORRY,0,327,0,POINT (-79.641425 41.925211),48,2504
THE MOSES H CONE MEMOR,NC,GREENSBORO,2124,5439,0,POINT (-79.793899 36.072701),37,643
LYNN COMMUNITY HEALTH,MA,LYNN,10277,7681,89357,POINT (-70.948512 42.46441),25,1861
ST VINCENT WILLIAMSPOR,IN,VEEDERSBURG,73,326,0,POINT (-87.263483 40.112998),35,3135
SOUTHEASTERN PHYSICIAN,KY,MADISONVILLE,0,2084,0,POINT (-87.4988 37.328179),36,1325
POLARIS PHARMACY SERVI,NC,CHARLOTTE,0,0,39280,POINT (-80.840161 35.222936),37,2429
WHC PHYSICIAN GROUP LL,DC,WASHINGTON,22045,5678,0,POINT (-77.019912 38.892062),44,1049
INTEGRIS MEDICAL GROUP,OK,NORMAN,1057,852,240,POINT (-97.445943 35.221051),20,605
MUNSEY ENTERPRISES INC,TN,OAK RIDGE,0,0,29161,POINT (-84.265534 36.012014),39,2738
